box	total.time	male.out.t	female.exit.t	together.t	incubating.t	nest.pick.t	male.food.call.t	female.begging.t	unknown.call.t	food.share.t	intruder.t	vigilance.t	male.out.p	female.exit.p	together.p	incubating.p	nest.pick.p	male.food.call.p	female.begging.p	unknown.call.p	food.share.p	intruder.p	vigilance.p	site	lay.date	lay.numeric	lay.plusmin	cl.size	hatch.date	hatch.numeric	n.hatch	egg.loss	fledge.date	fledge.numeric	n.ring	mass.ring	n.fledge	experiment.impact	fem.ID	frings	fem.age	f.age.exact	col.year.fem	male.ID	mrings	male.age	m.age.exact	col.yr.male	age.discrep	prev.box	max.chick	min.chick	total.chick	mean.chick
Y26	20923.42	19352.72	1116.183	531.473	16813.793	1373.353	1.993	0	75.84	54	0	13	92.49310103	5.33461069	2.540086659	80.35872243	6.56371186	0.009525211	0	0.362464645	9.291024125	0	2.23672803	Stithians	20/04/2023	20	TRUE	5	09/05/2023	39	4	1	14/06/2023	75	2	457.3	2	FALSE	J2952	BMYZR	7	FALSE	6	J2941	MWRZV	7	FALSE	6	FALSE	SAME	229.4	227.9	457.3	228.65
Y27	10761.337	8291.392	498.097	2025.561	9098.415	693.281	12.735	24.356	0	7	0	5	77.04797276	4.628579144	18.82257753	84.54725468	6.442331469	0.118340314	0.226328755	0	2.341716461	0	1.672654615	Stithians	20/04/2023	20	TRUE	4	09/05/2023	39	4	0	14/06/2023	75	2	390.8	2	FALSE	J1056	YWYM	8	TRUE	3	J4521	RRZMG	4	FALSE	3	FALSE	SAME	200.6	190.2	390.8	195.4
Y28	10741.949	9874.399	61.177	493.937	8681.661	0	0	0	0	5	1	29	91.92371887	0.569514899	4.598206527	80.82016587	0	0	0	0	1.675673567	0.335134713	9.71890669	Stithians	15/04/2023	15	TRUE	6	05/05/2023	35	5	0	NA	NA	0	NA	0	FALSE	J1618	MBYG	7	TRUE	3	J1532	SMGZO	8	TRUE	3	TRUE 	SAME	NA	NA	NA	NA
Y30	9052.3	7829.167	285.009	806.782	6567.559	0	0	0	0	13	1	19	86.48815218	3.148470554	8.912453189	72.55127426	0	0	0	0	5.169956807	0.397688985	7.556090717	Stithians	18/04/2023	18	TRUE	4	07/05/2023	37	4	0	11/06/2023	72	2	439.4	2	FALSE	J2460	RMYZG	8	FALSE	7	J625	OVOM	9	TRUE	7	FALSE	SAME	221.9	217.5	439.4	219.7
Y31	10471.676	8680.08	967.75	1370.989	8201.742	715.241	6.958	5.033	0	6	0	3	82.8910291	9.241596092	13.09235503	78.32310702	6.830243793	0.066445906	0.048062984	0	2.062707059	0	1.031353529	Stithians	19/04/2023	19	TRUE	5	08/05/2023	38	4	0	NA	NA	0	NA	0	TRUE	J5088	RZRMW	2	FALSE	1	J2072	MYYG	6	TRUE	1	FALSE	NEW	NA	NA	NA	NA
Y32	9725.651	6735.716	251.532	819.45	8384.385	659.365	0	60.906	0	10	0	9	69.25722504	2.586274173	8.425657059	86.20898488	6.779648992	0	0.626240855	0	3.701551701	0	3.331396531	Stithians	20/04/2023	20	TRUE	4	09/05/2023	39	2	0	08/06/2023	69	1	216.3	1	FALSE	J1046	RVRM	8	TRUE	7	J1529	BZMGZG	8	TRUE	7	FALSE	SAME	216.3	216.3	216.3	216.3
Y33	10638.68	6365.313	504.931	159.781	8275.405	0	0	0	0	18	0	8	59.83179304	4.746180917	1.501887452	77.78601293	0	0	0	0	6.090981212	0	2.707102761	Stithians	30/04/2023	30	TRUE	3	17/05/2023	47	3	0	22/06/2023	83	2	388.9	2	FALSE	J1902	BVGM	9	FALSE	6	J1368	BZRGM	9	TRUE	8	FALSE	SAME	228.3	160.6	388.9	194.45
Y34	20624.562	17148.557	118.064	1777.949	18358.311	1215.976	13.309	0	101.985	36	0	7	83.14628451	0.572443672	8.620541857	89.01188302	5.895766417	0.064529855	0	0.494483228	6.283769808	0	1.221844129	Stithians	19/04/2023	19	TRUE	6	10/05/2023	40	2	2	NA	NA	0	NA	0	FALSE	J1317	RZYWM	9	TRUE	8	J1602	GZVYZM	7	TRUE	6	TRUE 	SAME	NA	NA	NA	NA
Z02	21464.52	18408.173	832.324	1553.406	16608.297	0	0	0	0	21	0	29	85.76093479	3.877673482	7.237087063	77.37558073	0	0	0	0	3.52209134	0	4.863840421	Pencoose	15/04/2023	15	TRUE	6	NA	NA	NA	6	NA	NA	NA	NA	0	TRUE	J3631	GPMB	4	TRUE	3	J3383	OBMB	4	TRUE	3	FALSE	SAME	NA	NA	NA	NA
Z03	20788.164	16925.438	456.277	1254.384	18114.586	1374.436	8.209	0	44.557	59	0	14	81.41862841	2.194888399	6.034125957	87.13894118	6.611627655	0.039488817	0	0.214338313	10.21735253	0	2.424456532	Pencoose	15/04/2023	15	TRUE	4	03/05/2023	33	4	0	06/06/2023	67	3	639	3	FALSE	J1154	RZBYZM	8	TRUE	6	J2395	OZBGM	9	FALSE	9	FALSE	SAME	231.8	199.7	639	213
Z05	10787.437	8765.256	274.536	490.429	9261.493	0	0	0	0	8	0	1	81.25429609	2.544960402	4.546297698	85.85443419	0	0	0	0	2.669772255	0	0.333721532	Pencoose	17/04/2023	17	TRUE	5	05/05/2023	35	5	0	09/06/2023	70	2	456.6	2	FALSE	J2951	BMOZY	7	FALSE	6	J2149	MGGZO	6	TRUE	4	TRUE 	SAME	456.6	216.2	240.4	228.3
